Species,RA,TAX_ID
Escherichia coli,0.29331506444592886,562
Bifidobacterium longum,0.12770845882627363,216816
Bacteroides thetaiotaomicron,0.11117871154029221,818
Parabacteroides distasonis,0.0933132128695027,823
Prevotella copri,0.07137283725307367,165179
Shigella flexneri,0.05652420060703531,623
Shigella dysenteriae,0.04852901309567679,622
Bacteroides thetaiotaomicron CAG:40,0.03550921068705762,1263054
Clostridium butyricum,0.023278542100923394,1492
Bifidobacterium breve,0.022562263785640583,1685
Prevotella melaninogenica,0.012760581708960765,28132
Alistipes finegoldii,0.009085806278011383,214856
Roseburia hominis,0.007519211614858418,301301
Anaerostipes hadrus,0.0058505789899610345,649756
Collinsella aerofaciens,0.005481068737963495,74426
Bifidobacterium reuteri,0.005096262854619653,983706
Eubacterium hallii,0.004918954285986847,39488
Bacteroides faecis CAG:32,0.003295604780206809,1263044
Bacteroides uniformis,0.002388332331402394,820
Bifidobacterium saguini,0.001729010117053844,762210
Bifidobacterium callitrichos,0.0016416640117341643,762209
Bifidobacterium scardovii,0.0016318023546819424,158787
Collinsella sp. CAG:166,0.0016038274499827823,1262850
Bifidobacterium bifidum,0.0014703931923170043,1681
Akkermansia muciniphila,0.0014080031170886618,239935
Clostridium saccharobutylicum,0.0012802040920241533,169679
Prevotella scopos,0.0012310970650702322,589437
Bifidobacterium aesculapii,0.0011858139459528867,1329411
Clostridium beijerinckii,0.0011328830111623895,1520
Bacteroides ovatus,0.0009803292143137324,28116
Roseburia intestinalis,0.0009577882839086536,166486
Obesumbacterium proteus,0.0009567819923727126,82983
Ruminococcus gauvreauii,0.0009394737779545273,438033
Bifidobacterium adolescentis,0.00093021589582387,1680
Bacteroides vulgatus,0.0008955994669874992,821
Salmonella enterica,0.000860580521536752,28901
Alistipes shahii,0.0008589704550792464,328814
Faecalibacterium prausnitzii,0.0008058382619815611,853
Bacteroides fragilis,0.0008054357453671847,817
Bacteroides stercoris,0.0007969828964652803,46506
Ruminococcus sp. Zagget7,0.0007770583240536482,1930001
Blautia obeum,0.0007613601760929684,40520
Citrobacter freundii,0.0007092342745312241,546
Bacteroides plebeius,0.000672202746008595,310297
Mediterranea massiliensis,0.0006691838714007719,1841865
Bacteroides oleiciplenus,0.000666366255100137,626931
Clostridium saccharoperbutylacetonicum,0.0006333598927212719,36745
Bifidobacterium stellenboschense,0.0005391710049571934,762211
Prevotella sp. CAG:386,0.0005319257058984181,1262925
Cronobacter sakazakii,0.0005136111999442917,28141
