TAX_ID,species,RA,Source,SampleID
239935,AKKERMANSIA_MUCINIPHILA,0.0018,Expected,expected
214856,ALISTIPES_FINEGOLDII,0.013,Expected,expected
649756,ANAEROSTIPES_HADRUS,0.0175,Expected,expected
818,BACTEROIDES_THETAIOTAOMICRON,0.0772,Expected,expected
820,BACTEROIDES_UNIFORMIS,0.0105,Expected,expected
216816,BIFIDOBACTERIUM_LONGUM,0.3702,Expected,expected
418240,BLAUTIA_WEXLERAE,0.0011,Expected,expected
1492,CLOSTRIDIUM_BUTYRICUM,0.1059,Expected,expected
74426,COLLINSELLA_AEROFACIENS,0.0199,Expected,expected
562,ESCHERICHIA_COLI,0.0933,Expected,expected
39488,EUBACTERIUM_HALLII,0.0148,Expected,expected
853,FAECALIBACTERIUM_PRAUSNITZII,0.0016,Expected,expected
1596,LACTOBACILLUS_GASSERI,0.0026,Expected,expected
823,PARABACTEROIDES_DISTASONIS,0.101,Expected,expected
165179,PREVOTELLA_COPRI,0.1384,Expected,expected
28132,PREVOTELLA_MELANINOGENICA,0.0153,Expected,expected
301301,ROSEBURIA_HOMINIS,0.0135,Expected,expected
166486,ROSEBURIA_INTESTINALIS,0.0011,Expected,expected
438033,RUMINOCOCCUS_GAUVREAUII,0.0012,Expected,expected
239935,AKKERMANSIA_MUCINIPHILA,0.0028179999999999,biobakery4,SRR11487934
214856,ALISTIPES_FINEGOLDII,0.0227776,biobakery4,SRR11487934
39488,ANAEROBUTYRICUM_HALLII,0.0155616,biobakery4,SRR11487934
649756,ANAEROSTIPES_HADRUS,0.0244363999999999,biobakery4,SRR11487934
818,BACTEROIDES_THETAIOTAOMICRON,0.1442286,biobakery4,SRR11487934
820,BACTEROIDES_UNIFORMIS,0.0040392,biobakery4,SRR11487934
216816,BIFIDOBACTERIUM_LONGUM,0.9950366,biobakery4,SRR11487934
418240,BLAUTIA_WEXLERAE,0.0014089999999999,biobakery4,SRR11487934
1492,CLOSTRIDIUM_BUTYRICUM,0.044812,biobakery4,SRR11487934
74426,COLLINSELLA_AEROFACIENS,0.0171936,biobakery4,SRR11487934
562,ESCHERICHIA_COLI,0.260862,biobakery4,SRR11487934
853,FAECALIBACTERIUM_PRAUSNITZII,0.0010548,biobakery4,SRR11487934
