Species,RA,TAX_ID
Bifidobacterium longum,0.39250844582107425,216816
Bacteroides thetaiotaomicron,0.09569512618832887,818
Parabacteroides distasonis,0.08019417996067241,823
Prevotella copri,0.06505222733119446,165179
Escherichia coli,0.056021944349985954,562
Clostridium butyricum,0.020812850215118944,1492
Prevotella melaninogenica,0.016424534648195516,28132
Alistipes finegoldii,0.011104776231944054,214856
Roseburia hominis,0.009768137262149415,301301
Collinsella aerofaciens,0.009658175259103745,74426
Anaerostipes hadrus,0.007147530197968568,649756
Anaerobutyricum hallii,0.006525644247970785,39488
Klebsiella pneumoniae,0.0021396388071617607,573
Bacteroides uniformis,0.001865195824770466,820
Akkermansia muciniphila,0.0014165693333530465,239935
Roseburia intestinalis,0.0009794934725076512,166486
Faecalibacterium prausnitzii,0.000967942841935627,853
Escherichia albertii,0.0006348226562384494,208962
Escherichia marmotae,0.0005063796442775404,1499973
Escherichia fergusonii,0.0004744999038987536,564
Salmonella enterica,0.00043568978517675235,28901
Escherichia sp. E4742,0.0003867151115513698,2044467
Bifidobacterium breve,0.0003354303118115824,1685
Lactobacillus paragasseri,0.0003201834794565105,2107999
Shigella dysenteriae,0.0002347088132235315,622
Shigella flexneri,0.000227778434880317,623
Shigella boydii,0.00019035439182695863,621
Citrobacter freundii,0.0001506202226591954,546
Enterobacter cloacae,0.0001293670624066709,550
Butyricimonas faecalis,0.00012474681017786123,2093856
Leptolyngbya sp. PCC 7376,0.00011412023005159897,111781
Phocaeicola vulgatus,0.00011412023005159897,821
Blautia sp. SC05B48,0.00011365820482871801,2479767
Blautia obeum,0.00010626580126262254,40520
Phocaeicola dorei,0.00010256959947957479,357276
Lactobacillus phage phiadh,9.887339769652705e-05,12417
Bacteroides xylanisolvens,9.332909502195543e-05,371601
Enterobacter hormaechei,9.24050445761935e-05,158836
Prevotella dentalis,9.148099413043157e-05,52227
Prevotella ruminicola,7.715821222112157e-05,839
Citrobacter sp. RHB25-C09,7.484808610671674e-05,2742624
Prevotella denticola,7.161390954654997e-05,28129
Citrobacter sp. R56,7.022783387790706e-05,1573676
Bifidobacterium bifidum,6.83797329863832e-05,1681
Limosilactobacillus fermentum,6.283543031181158e-05,1613
Salmonella bongori,6.098732942028771e-05,54736
Bacteroides fragilis,6.098732942028771e-05,817
Citrobacter rodentium,5.867720330588287e-05,67825
Olsenella sp. GAM18,5.821517808300191e-05,2109685
Enterobacter lignolyticus,5.7291127637239974e-05,1334193
Lelliottia amnigena,5.4981001522835136e-05,61646
Eubacterium limosum,5.4981001522835136e-05,1736
Paraprevotella xylaniphila,5.4981001522835136e-05,454155
Blautia sp. YL58,5.26708754084303e-05,1796616
Klebsiella aerogenes,5.128479973978739e-05,548
Cedecea neteri,4.989872407114449e-05,158822
Klebsiella oxytoca,4.712657273385869e-05,571
Jejubacter calystegiae,4.620252228809675e-05,2579935
Parabacteroides merdae,4.574049706521578e-05,46503
Yokenella regensburgei,4.574049706521578e-05,158877
Parabacteroides goldsteinii,4.4354421396572885e-05,328812
Citrobacter amalonaticus,4.4354421396572885e-05,35703
Klebsiella quasipneumoniae,4.3892396173691915e-05,1463165
Enterobacter sp. JUb54,4.3892396173691915e-05,2724468
Citrobacter farmeri,4.3892396173691915e-05,67824
Enterobacter asburiae,4.250632050504901e-05,61645
Enterobacter kobei,4.250632050504901e-05,208224
Bacteroides caccae,4.1120244836406106e-05,47678
Klebsiella michiganensis,4.065821961352514e-05,1134687
Enterobacter roggenkampii,3.8348093499120304e-05,1812935
Gordonibacter pamelaeae,3.7886068276239334e-05,471189
Scandinavium goeteborgense,3.742404305335837e-05,1851514
Bacteroides cellulosilyticus,3.742404305335837e-05,246787
Citrobacter tructae,3.69620178304774e-05,2562449
Leclercia sp. 4-9-1-25,3.69620178304774e-05,2815358
Pluralibacter gergoviae,3.6037967384715466e-05,61647
Prevotella sp. WR041,3.3265816047429664e-05,2801997
Enterobacter sp. RHBSTW-00994,3.280379082454869e-05,2742676
Coprococcus comes,3.280379082454869e-05,410072
Atlantibacter hermannii,3.280379082454869e-05,565
Shigella sonnei,3.141771515590579e-05,624
Citrobacter werkmanii,3.141771515590579e-05,67827
Pseudescherichia vulneris,3.0493664710143855e-05,566
Leclercia adecarboxylata,3.0493664710143855e-05,83655
Enterobacter cancerogenus,3.0031639487262888e-05,69218
Enterobacter sp. E76,2.956961426438192e-05,2596949
Cronobacter sakazakii,2.9107589041500954e-05,28141
Kluyvera intermedia,2.8645563818619987e-05,61648
Faecalicatena sp. Marseille-Q4148,2.8645563818619987e-05,2823316
Ruminococcus torques,2.8645563818619987e-05,33039
Bifidobacterium saguini,2.772151337285805e-05,762210
Shimwellia blattae,2.772151337285805e-05,563
Phytobacter ursingii,2.7259488149977083e-05,1972431
Bifidobacterium scardovii,2.6797462927096116e-05,158787
Enterobacter oligotrophicus,2.6797462927096116e-05,2478464
Phocaeicola coprophilus,2.6797462927096116e-05,387090
Klebsiella huaxiensis,2.633543770421515e-05,2153354
Raoultella ornithinolytica,2.633543770421515e-05,54291
Coprococcus catus,2.4949362035572244e-05,116085
Citrobacter koseri,2.4949362035572244e-05,545
Enterobacter sp. SA187,2.4487336812691277e-05,1914861
Bifidobacterium catenulatum,2.402531158981031e-05,1686
Alistipes communis,2.3101261144048376e-05,2585118
Citrobacter telavivum,2.3101261144048376e-05,2653932
Citrobacter pasteurii,2.3101261144048376e-05,1563222
Kluyvera genomosp. 3,2.3101261144048376e-05,2774055
Phocaeicola salanitronis,2.1253160252524505e-05,376805
Staphylococcus aureus,2.0791135029643538e-05,1280
Buttiauxella sp. 3AFRM03,2.032910980676257e-05,2479367
Leclercia sp. 29361,2.032910980676257e-05,2714951
Citrobacter sp. LY-1,2.032910980676257e-05,2546350
Bacteroides zhangwenhongi,1.9867084583881604e-05,2650157
Kosakonia cowanii,1.9867084583881604e-05,208223
Buttiauxella agrestis,1.9867084583881604e-05,82977
Blautia hansenii,1.9867084583881604e-05,1322
Lactobacillus gasseri,1.9867084583881604e-05,1596
Bifidobacterium adolescentis,1.9867084583881604e-05,1680
Klebsiella variicola,1.9405059361000637e-05,244366
Enterobacter bugandensis,1.84810089152387e-05,881260
Blautia producta,1.84810089152387e-05,33035
Ruminococcus gnavus,1.8018983692357733e-05,33038
Enterobacter sp. 638,1.70949332465958e-05,399742
Cronobacter condimenti,1.70949332465958e-05,1163710
Berryella intestinalis,1.70949332465958e-05,1531429
Citrobacter portucalensis,1.6632908023714832e-05,1639133
Kosakonia sacchari,1.617088280083386e-05,1158459
Enterobacter soli,1.617088280083386e-05,885040
Sodaliphilus pleomorphus,1.5708857577952895e-05,2606626
Kosakonia radicincitans,1.5246832355071928e-05,283686
Kosakonia sp. SMBL-WEM22,1.5246832355071928e-05,2725560
Raoultella planticola,1.5246832355071928e-05,575
Cedecea lapagei,1.5246832355071928e-05,158823
Kosakonia arachidis,1.5246832355071928e-05,551989
Cedecea sp. FDAARGOS_727,1.5246832355071928e-05,2545798
Parolsenella massiliensis,1.478480713219096e-05,1871022
Eggerthella lenta,1.478480713219096e-05,84112
Bifidobacterium animalis,1.4322781909309994e-05,28025
Enterobacter sp. RHBSTW-00175,1.4322781909309994e-05,2742639
Blautia argi,1.3860756686429025e-05,1912897
Enterobacter ludwigii,1.3860756686429025e-05,299767
Bacteroides ovatus,1.3860756686429025e-05,28116
Fibrobacter succinogenes,1.3398731463548058e-05,833
Muribaculum gordoncarteri,1.3398731463548058e-05,2530390
Citrobacter braakii,1.3398731463548058e-05,57706
Echinicola strongylocentroti,1.3398731463548058e-05,1795355
Citrobacter cronae,1.3398731463548058e-05,1748967
Arenibacter algicola,1.3398731463548058e-05,616991
Cronobacter dublinensis,1.2012655794905155e-05,413497
Butyrivibrio fibrisolvens,1.1550630572024188e-05,831
Bacteroides sp. ZJ-18,1.1550630572024188e-05,2709390
Pectobacterium polaris,1.1550630572024188e-05,2042057
Clostridioides difficile,1.1088605349143221e-05,1496
Ruminococcus albus,1.1088605349143221e-05,1264
Lactobacillus helveticus,1.1088605349143221e-05,1587
Bifidobacterium angulatum,1.0626580126262253e-05,1683
Achromobacter pestifer,1.0626580126262253e-05,1353889
Enterobacter sp. RHB15-C17,1.0626580126262253e-05,2742619
Enterocloster bolteae,1.0626580126262253e-05,208479
Bacteroides eggerthii,1.0626580126262253e-05,28111
Clostridium scindens,1.0626580126262253e-05,29347
Bifidobacterium pseudocatenulatum,1.0164554903381286e-05,28026
Lacrimispora sphenoides,1.0164554903381286e-05,29370
Isosphaera pallida,1.0164554903381286e-05,128
Enterobacter chengduensis,1.0164554903381286e-05,2494701
Kosakonia pseudosacchari,1.0164554903381286e-05,1646340
Clostridium botulinum,1.0164554903381286e-05,1491
Kosakonia sp. MUSA4,9.702529680500319e-06,2067958
Bifidobacterium pullorum,9.702529680500319e-06,78448
Bacteroides caecimuris,9.24050445761935e-06,1796613
Lachnoclostridium phocaeense,9.24050445761935e-06,1871021
Bifidobacterium pseudolongum,9.24050445761935e-06,1694
Enterobacter chuandaensis,8.778479234738383e-06,2497875
Kosakonia sp. CCTCC M2018092,8.778479234738383e-06,2492396
Massilistercora timonensis,8.778479234738383e-06,2086584
Kosakonia oryzae,8.778479234738383e-06,497725
Prevotella nigrescens,8.778479234738383e-06,28133
Klebsiella quasivariicola,8.778479234738383e-06,2026240
Citrobacter sp. BDA59-3,8.778479234738383e-06,2781952
Cupriavidus taiwanensis,8.778479234738383e-06,164546
Pseudomonas entomophila,8.316454011857416e-06,312306
Klebsiella grimontii,8.316454011857416e-06,2058152
Cronobacter universalis,8.316454011857416e-06,535744
Lacrimispora saccharolytica,8.316454011857416e-06,84030
Janthinobacterium agaricidamnosum,8.316454011857416e-06,55508
Chryseobacterium sp. 3008163,8.316454011857416e-06,2478663
Chitinophaga pinensis,8.316454011857416e-06,79329
Alistipes indistinctus,8.316454011857416e-06,626932
Alistipes onderdonkii,8.316454011857416e-06,328813
Chryseobacterium sp.,8.316454011857416e-06,1871047
Prevotella intermedia,8.316454011857416e-06,28131
Klebsiella africana,7.854428788976447e-06,2489010
Odoribacter splanchnicus,7.854428788976447e-06,28118
Clostridium sp. CT4,7.39240356609548e-06,2320868
Photobacterium damselae,7.39240356609548e-06,38293
Clostridium beijerinckii,7.39240356609548e-06,1520
Pseudomonas campi,7.39240356609548e-06,2731681
Cutibacterium avidum,7.39240356609548e-06,33010
Coprococcus sp. ART55/1,7.39240356609548e-06,751585
Eggerthella sp. YY7918,7.39240356609548e-06,502558
Staphylococcus felis,7.39240356609548e-06,46127
Bacteroides coprosuis,6.9303783432145124e-06,151276
Parolsenella catena,6.9303783432145124e-06,2003188
Tannerella sp. oral taxon HOT-286,6.9303783432145124e-06,712710
Bacteroides sp. CBA7301,6.9303783432145124e-06,2715212
Rickettsia canadensis,6.9303783432145124e-06,788
Butyrivibrio proteoclasticus,6.9303783432145124e-06,43305
Moraxella cuniculi,6.9303783432145124e-06,34061
Kluyvera ascorbata,6.4683531203335454e-06,51288
Klebsiella sp. STW0522-44,6.4683531203335454e-06,2681387
Chryseobacterium nakagawai,6.4683531203335454e-06,1241982
Prevotella histicola,6.4683531203335454e-06,470565
Beggiatoa leptomitoformis,6.4683531203335454e-06,288004
Leptotrichia sp. oral taxon 212,6.4683531203335454e-06,712357
Babesia bigemina,6.4683531203335454e-06,5866
Methanoplanus limicola,6.4683531203335454e-06,2315
Enterobacter cloacae complex sp.,6.4683531203335454e-06,2027919
Bacteroides zoogleoformans,6.4683531203335454e-06,28119
Chlorobium phaeobacteroides,6.4683531203335454e-06,1096
Blautia sp. LZLJ-3,6.4683531203335454e-06,2779518
Bifidobacterium dentium,6.4683531203335454e-06,1689
Curtobacterium sp. YC1,6.006327897452578e-06,2795488
Gordonia sp. 1D,6.006327897452578e-06,1737359
Rhodoferax sediminis,6.006327897452578e-06,2509614
Porphyromonas gingivalis,6.006327897452578e-06,837
Bifidobacterium eulemuris,6.006327897452578e-06,1765219
Homo sapiens,6.006327897452578e-06,9606
Enterobacter sp. SGAir0187,6.006327897452578e-06,2836161
Clostridium hylemonae,6.006327897452578e-06,89153
Enterocloster clostridioformis,6.006327897452578e-06,1531
Bacteroides sp. M10,6.006327897452578e-06,2763022
Citrobacter sp. MGH 55,6.006327897452578e-06,1439319
Parabacteroides sp. CT06,5.544302674571611e-06,2025876
Cronobacter malonaticus,5.544302674571611e-06,413503
Leclercia sp. J807,5.544302674571611e-06,2681307
Flavonifractor plautii,5.544302674571611e-06,292800
Bifidobacterium subtile,5.082277451690643e-06,77635
Leclercia sp. Colony189,5.082277451690643e-06,2681309
Drechmeria coniospora,5.082277451690643e-06,98403
Hungatella hathewayi,5.082277451690643e-06,154046
Schaalia odontolytica,5.082277451690643e-06,1660
Bacteroides sp. CACC 737,5.082277451690643e-06,2755405
Coprobacter secundus,5.082277451690643e-06,1501392
Porphyromonas asaccharolytica,5.082277451690643e-06,28123
Anaerostipes caccae,5.082277451690643e-06,105841
Lelliottia sp. WB101,4.620252228809675e-06,2153385
Escherichia sp. SCLE84,4.620252228809675e-06,2725997
Bacteroides heparinolyticus,4.620252228809675e-06,28113
Enterobacter sichuanensis,4.620252228809675e-06,2071710
Citrobacter freundii complex sp. CFNIH2,4.620252228809675e-06,2066049
Lactobacillus johnsonii,4.620252228809675e-06,33959
Oscillibacter sp. MM59,4.620252228809675e-06,2714358
Lactobacillus phage phi jlb1,4.158227005928708e-06,1416334
Enterobacter mori,4.158227005928708e-06,539813
Alistipes shahii,4.158227005928708e-06,328814
Candidatus Hoaglandella endobia,4.158227005928708e-06,1778263
Clostridium perfringens,4.158227005928708e-06,1502
Oenococcus oeni,4.158227005928708e-06,1247
Enterobacter sp. R4-368,4.158227005928708e-06,1166130
Lactiplantibacillus plantarum,4.158227005928708e-06,1590
Bifidobacterium thermophilum,4.158227005928708e-06,33905
Bifidobacterium imperatoris,4.158227005928708e-06,2020965
Prevotella jejuni,3.69620178304774e-06,1177574
Prevotella oris,3.69620178304774e-06,28135
Aspergillus luchuensis,3.69620178304774e-06,1069201
Hydrogenovibrio thermophilus,3.69620178304774e-06,265883
Lachnospira eligens,3.69620178304774e-06,39485
Citrobacter sedlakii,3.69620178304774e-06,67826
Citrobacter sp. FDAARGOS_156,3.69620178304774e-06,1702170
Lachnoclostridium sp. YL32,3.69620178304774e-06,1834196
Clostridium saccharobutylicum,3.69620178304774e-06,169679
Flintibacter sp. KGMB00164,3.69620178304774e-06,2610895
Adlercreutzia equolifaciens,3.69620178304774e-06,446660
Leclercia sp. W6,3.2341765601667727e-06,2282310
Erythrobacter neustonensis,3.2341765601667727e-06,1112
Clostridium taeniosporum,3.2341765601667727e-06,394958
Prevotella multiformis,3.2341765601667727e-06,282402
Bacteroides helcogenes,3.2341765601667727e-06,290053
Raoultella terrigena,3.2341765601667727e-06,577
Morganella morganii,3.2341765601667727e-06,582
Enterobacter sp. SES19,3.2341765601667727e-06,2705458
Chryseolinea soli,3.2341765601667727e-06,2321403
Gloeobacter violaceus,3.2341765601667727e-06,33072
Moorella glycerini,3.2341765601667727e-06,55779
Serratia symbiotica,3.2341765601667727e-06,138074
Candidatus Hamiltonella defensa,3.2341765601667727e-06,138072
Yersinia pestis,3.2341765601667727e-06,632
Metakosakonia sp. MRY16-398,3.2341765601667727e-06,2487150
Staphylococcus cohnii,2.7721513372858053e-06,29382
Selenomonas sp. oral taxon 920,2.7721513372858053e-06,1884263
Nocardioides sp. HY056,2.7721513372858053e-06,2500546
Lautropia mirabilis,2.7721513372858053e-06,47671
Vallitalea guaymasensis,2.7721513372858053e-06,1185412
Pseudomonas putida,2.7721513372858053e-06,303
Olsenella uli,2.7721513372858053e-06,133926
Dolosigranulum pigrum,2.7721513372858053e-06,29394
Cronobacter muytjensii,2.7721513372858053e-06,413501
Hymenobacter sp. DG25A,2.7721513372858053e-06,1385663
Hymenobacter qilianensis,2.7721513372858053e-06,1385715
Actinomyces pacaensis,2.7721513372858053e-06,1852377
Tannerella forsythia,2.7721513372858053e-06,28112
Lonsdalea populi,2.7721513372858053e-06,1172565
Bartonella alsatica,2.7721513372858053e-06,52764
Allochromatium vinosum,2.7721513372858053e-06,1049
Enterobacter cloacae complex sp. FDA-CDC-AR_0164,2.7721513372858053e-06,2077136
Klebsiella sp. A52,2.7721513372858053e-06,2834819
Cronobacter sp. JZ38,2.7721513372858053e-06,1906275
Alistipes sp. dk3624,2.7721513372858053e-06,2662363
Ligilactobacillus salivarius,2.7721513372858053e-06,1624
Alistipes megaguti,2.7721513372858053e-06,2364787
Komagataeibacter nataicola,2.3101261144048375e-06,265960
Xenorhabdus doucetiae,2.3101261144048375e-06,351671
Bifidobacterium actinocoloniiforme,2.3101261144048375e-06,638619
Salinivirga cyanobacteriivorans,2.3101261144048375e-06,1307839
Eubacterium cellulosolvens,2.3101261144048375e-06,29322
Clostridium sp. SY8519,2.3101261144048375e-06,1042156
Citrobacter sp. RHBSTW-00881,2.3101261144048375e-06,2742667
Bacteroides luhongzhouii,2.3101261144048375e-06,2650158
Candidatus Moranella endobia,2.3101261144048375e-06,1048758
Clostridium baratii,2.3101261144048375e-06,1561
Bifidobacterium lemurum,2.3101261144048375e-06,1603886
Geoalkalibacter subterraneus,2.3101261144048375e-06,483547
Slackia heliotrinireducens,2.3101261144048375e-06,84110
Mageeibacillus indolicus,2.3101261144048375e-06,884684
Sulfurimonas sp. B2,2.3101261144048375e-06,2590551
Mycoplasma cloacale,2.3101261144048375e-06,92401
Pseudobutyrivibrio xylanivorans,2.3101261144048375e-06,185007
Thalassospira indica,2.3101261144048375e-06,1891279
Pseudoalteromonas ruthenica,2.3101261144048375e-06,151081
Fluviicola taffensis,2.3101261144048375e-06,191579
Desulfallas gibsoniae,2.3101261144048375e-06,102134
Anaerocolumna sedimenticola,2.3101261144048375e-06,2696063
Aeromonas hydrophila,2.3101261144048375e-06,644
Christensenella sp. Marseille-P3954,2.3101261144048375e-06,2086585
Fusobacterium varium,2.3101261144048375e-06,856
Prevotella veroralis,2.3101261144048375e-06,28137
Pedobacter sp. KBS0701,2.3101261144048375e-06,2578106
Enterobacter cloacae complex sp. ECNIH7,2.3101261144048375e-06,1915310
Shewanella marisflavi,2.3101261144048375e-06,260364
Kluyveromyces lactis,2.3101261144048375e-06,28985
Anaerocolumna sp. CTTW,2.3101261144048375e-06,2736602
Prevotella scopos,2.3101261144048375e-06,589437
Pseudomonas aeruginosa,2.3101261144048375e-06,287
Leclercia sp. W17,2.3101261144048375e-06,2282309
Clostridium innocuum,2.3101261144048375e-06,1522
Faecalitalea cylindroides,2.3101261144048375e-06,39483
Limosilactobacillus reuteri,2.3101261144048375e-06,1598
Riemerella anatipestifer,1.84810089152387e-06,34085
Anaerocolumna cellulosilytica,1.84810089152387e-06,433286
Chryseobacterium indoltheticum,1.84810089152387e-06,254
Clostridium acetobutylicum,1.84810089152387e-06,1488
Clostridium tetani,1.84810089152387e-06,1513
Anaerostipes rhamnosivorans,1.84810089152387e-06,1229621
Clostridium kluyveri,1.84810089152387e-06,1534
Bacteroides intestinalis,1.84810089152387e-06,329854
Clostridium sp. DL-VIII,1.84810089152387e-06,641107
Clostridium diolis,1.84810089152387e-06,223919
Clostridium sp. MF28,1.84810089152387e-06,1702238
Clostridium gasigenes,1.84810089152387e-06,94869
Burkholderia contaminans,1.84810089152387e-06,488447
Prevotella fusca,1.84810089152387e-06,589436
Serratia sp. CMO1,1.84810089152387e-06,2785630
Rhodoferax koreense,1.84810089152387e-06,1842727
Paraburkholderia phenoliruptrix,1.84810089152387e-06,252970
Proteiniphilum saccharofermentans,1.84810089152387e-06,1642647
Eggerthella sp. HF-1101,1.84810089152387e-06,2690837
Flavobacterium sp. CLA17,1.84810089152387e-06,2724135
Tetrapisispora phaffii,1.84810089152387e-06,113608
Xenorhabdus hominickii,1.84810089152387e-06,351679
Sediminispirochaeta smaragdinae,1.84810089152387e-06,55206
Methanocorpusculum labreanum,1.84810089152387e-06,83984
Photorhabdus asymbiotica,1.84810089152387e-06,291112
Corynebacterium sp. 1959,1.84810089152387e-06,2675216
Fusobacterium nucleatum,1.84810089152387e-06,851
Citrobacter youngae,1.84810089152387e-06,133448
Citrobacter sp. RHB35-C21,1.84810089152387e-06,2742626
Yersinia pseudotuberculosis,1.84810089152387e-06,633
Citrobacter sp. RHB35-C17,1.84810089152387e-06,2742625
Citrobacter sp. 172116965,1.84810089152387e-06,2683822
Citrobacter sp. TSA-1,1.84810089152387e-06,184912
Candidatus Sodalis pierantonius,1.84810089152387e-06,1486991
Streptococcus sp. oral taxon 431,1.84810089152387e-06,712633
Pseudomonas stutzeri,1.84810089152387e-06,316
Nocardioides dokdonensis,1.84810089152387e-06,450734
Acinetobacter nosocomialis,1.84810089152387e-06,106654
Streptococcus oralis,1.84810089152387e-06,1303
