SampleID,Source/Pipeline,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA
EG,bio4,21,0.1310,0.0332,16.5910,0.6519,0.0524,71.4286,26.6753
EG,jams,87,0.3522,0.0075,17.3776,0.6720,0.0292,78.5714,26.7593
EG,wgsa2,988,0.5213,0.0008,47.3889,0.6055,0.0075,85.7143,18.3137
MIX-A,bio4,17,0.2808,0.0446,18.2535,0.6211,0.1121,63.6364,37.8070
MIX-A,jams,40,0.1501,0.0259,18.5744,0.4824,0.0957,54.5455,51.7556
MIX-A,wgsa2,596,0.1568,0.0019,45.2053,0.4289,0.0252,81.8182,51.5700
MIX-B,bio4,18,0.0968,0.0619,20.7010,0.4430,0.1258,54.5455,52.6298
MIX-B,jams,47,0.3893,0.0176,17.7645,0.5870,0.0664,63.6364,33.6164
MIX-B,wgsa2,647,0.4797,0.0011,43.5733,0.6353,0.0157,81.8182,28.1882
MIX-C,bio4,14,0.2719,0.0507,15.5841,0.6453,0.1118,63.6364,32.0567
MIX-C,jams,44,0.5002,0.0185,16.6418,0.5923,0.0580,81.8182,24.3596
MIX-C,wgsa2,1011,0.5124,0.0008,47.4955,0.5815,0.0136,90.9091,9.8850
MIX-D,bio4,13,0.9395,0.0182,11.4068,0.8819,0.0312,63.6364,3.5469
MIX-D,jams,44,0.9041,0.0079,13.6102,0.8260,0.0256,72.7273,3.8710
MIX-D,wgsa2,717,0.9073,0.0005,36.6774,0.8288,0.0065,90.9091,2.9828
