SampleID,Source/Pipeline,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA
EG,bio4,21,0.1310,0.0331,16.5926,0.6517,0.0524,71.4286,26.6753
EG,jams,87,0.3522,0.0075,17.2705,0.6488,0.0264,78.5714,25.9735
EG,wgsa2,988,0.5213,0.0007,47.3394,0.5700,0.0064,85.7143,17.7253
EG,woltka,4904,0.1129,0.0003,153.0058,0.3313,0.0054,71.4286,60.0108
MIX-A,bio4,17,0.2808,0.0446,18.2530,0.6209,0.1121,63.6364,37.8070
MIX-A,jams,40,0.1501,0.0259,18.5394,0.4736,0.0936,54.5455,51.3340
MIX-A,wgsa2,596,0.1568,0.0017,44.9983,0.2804,0.0199,81.8182,51.3325
MIX-A,woltka,3743,0.0127,0.0005,131.1544,0.1267,0.0117,72.7273,85.4903
MIX-B,bio4,18,0.0968,0.0619,20.6987,0.4432,0.1259,54.5455,52.6298
MIX-B,jams,47,0.3893,0.0172,17.7296,0.5874,0.0646,63.6364,33.5495
MIX-B,wgsa2,647,0.4797,0.0013,43.4606,0.4016,0.0162,81.8182,27.9369
MIX-B,woltka,3355,0.3045,0.0004,125.0095,0.3423,0.0075,72.7273,61.3277
MIX-C,bio4,14,0.2719,0.0507,15.5822,0.6453,0.1119,63.6364,32.0567
MIX-C,jams,44,0.5002,0.0180,16.6267,0.5919,0.0561,81.8182,23.7882
MIX-C,wgsa2,1011,0.5124,0.0006,47.5032,0.6045,0.0112,90.9091,9.6626
MIX-C,woltka,3880,0.0731,0.0004,132.7408,0.2815,0.0092,72.7273,69.9987
MIX-D,bio4,13,0.9395,0.0183,11.4158,0.8806,0.0312,63.6364,3.5469
MIX-D,jams,44,0.9041,0.0079,13.5959,0.8238,0.0248,72.7273,3.7579
MIX-D,wgsa2,717,0.9073,0.0005,36.6652,0.8164,0.0059,90.9091,2.7789
MIX-D,woltka,2958,0.6488,0.0003,118.6770,0.6204,0.0061,72.7273,20.6931
