SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline,threshold,Source
SRR11487937,20,0.2709,0.0241,8.4807,0.7588,0.0313,94.7368,3.9799,biobakery3,0.001,mixed
SRR11487938,20,0.3283,0.0234,7.8474,0.766,0.0306,94.7368,3.4926,biobakery3,0.001,mixed
SRR11487939,20,0.2666,0.0237,9.5833,0.7625,0.0316,94.7368,3.9371,biobakery3,0.001,mixed
SRR11487940,20,0.2909,0.023,8.3586,0.7696,0.0308,94.7368,4.0588,biobakery3,0.001,mixed
SRR11487941,20,0.301,0.0235,9.5672,0.7648,0.0312,94.7368,3.8522,biobakery3,0.001,mixed
SRR11487937,19,0.6104,0.0172,1.9325,0.8362,0.0264,100.0,0.0,biobakery4,0.001,mixed
SRR11487938,19,0.6096,0.0179,2.0494,0.8295,0.0276,100.0,0.0,biobakery4,0.001,mixed
SRR11487939,19,0.6052,0.0175,2.0536,0.8341,0.0273,100.0,0.0,biobakery4,0.001,mixed
SRR11487940,19,0.6161,0.017,1.9498,0.8385,0.0263,100.0,0.0,biobakery4,0.001,mixed
SRR11487941,19,0.6111,0.0172,2.0105,0.8366,0.0269,100.0,0.0,biobakery4,0.001,mixed
SRR11487937,23,0.3399,0.0204,5.3887,0.7651,0.0297,100.0,9.0651,jams,0.001,mixed
SRR11487938,21,0.2753,0.022,5.2846,0.7686,0.0304,100.0,7.9849,jams,0.001,mixed
SRR11487939,21,0.1892,0.0229,5.763,0.7593,0.035,100.0,11.5832,jams,0.001,mixed
SRR11487940,21,0.2835,0.0217,5.131,0.7721,0.0302,100.0,8.0402,jams,0.001,mixed
SRR11487941,22,0.3036,0.0212,5.4087,0.7672,0.0307,100.0,9.0878,jams,0.001,mixed
SRR11487937,24,0.326,0.0212,5.6696,0.7456,0.031,100.0,10.1206,jams202212,0.001,mixed
SRR11487938,22,0.2929,0.0224,5.3486,0.7536,0.0311,100.0,8.6447,jams202212,0.001,mixed
SRR11487939,21,0.1509,0.0249,5.9592,0.7383,0.0372,100.0,12.4768,jams202212,0.001,mixed
SRR11487940,23,0.3509,0.0209,5.2572,0.7599,0.0297,100.0,8.4159,jams202212,0.001,mixed
SRR11487941,23,0.3104,0.0215,5.4256,0.7525,0.0314,100.0,9.841,jams202212,0.001,mixed
SRR11487937,28,0.3691,0.0212,10.2558,0.7034,0.033,89.4737,13.2111,wgsa2,0.001,mixed
SRR11487938,27,0.3603,0.0219,10.3583,0.7043,0.0337,89.4737,12.8935,wgsa2,0.001,mixed
SRR11487939,27,0.3605,0.0219,10.2809,0.704,0.0338,89.4737,12.9489,wgsa2,0.001,mixed
SRR11487940,28,0.3765,0.0211,10.2906,0.7047,0.0329,89.4737,13.1463,wgsa2,0.001,mixed
SRR11487941,27,0.3607,0.0218,10.3154,0.7053,0.0337,89.4737,12.9289,wgsa2,0.001,mixed
SRR11487937,51,0.3441,0.0146,9.3394,0.6272,0.0244,94.7368,22.4444,woltka,0.001,mixed
SRR11487938,55,0.3554,0.0138,9.5505,0.6218,0.0236,94.7368,23.2236,woltka,0.001,mixed
SRR11487939,53,0.3555,0.014,9.4408,0.6292,0.0239,94.7368,22.6395,woltka,0.001,mixed
SRR11487940,54,0.3549,0.0139,9.5027,0.6239,0.0237,94.7368,23.1655,woltka,0.001,mixed
SRR11487941,54,0.3562,0.0139,9.4958,0.6252,0.0237,94.7368,23.1006,woltka,0.001,mixed
SRR11487937,20,0.2709,0.0241,8.4807,0.7588,0.0313,94.7368,3.9799,biobakery3,0.01,mixed
SRR11487938,20,0.3283,0.0234,7.8474,0.766,0.0306,94.7368,3.4926,biobakery3,0.01,mixed
SRR11487939,20,0.2666,0.0237,9.5833,0.7625,0.0316,94.7368,3.9371,biobakery3,0.01,mixed
SRR11487940,20,0.2909,0.023,8.3586,0.7696,0.0308,94.7368,4.0588,biobakery3,0.01,mixed
SRR11487941,20,0.301,0.0235,9.5672,0.7648,0.0312,94.7368,3.8522,biobakery3,0.01,mixed
SRR11487937,19,0.6104,0.0172,1.9325,0.8362,0.0264,100.0,0.0,biobakery4,0.01,mixed
SRR11487938,19,0.6096,0.0179,2.0494,0.8295,0.0276,100.0,0.0,biobakery4,0.01,mixed
SRR11487939,19,0.6052,0.0175,2.0536,0.8341,0.0273,100.0,0.0,biobakery4,0.01,mixed
SRR11487940,19,0.6161,0.017,1.9498,0.8385,0.0263,100.0,0.0,biobakery4,0.01,mixed
SRR11487941,19,0.6111,0.0172,2.0105,0.8366,0.0269,100.0,0.0,biobakery4,0.01,mixed
SRR11487937,21,0.2492,0.0223,5.2912,0.766,0.0311,100.0,8.8271,jams,0.01,mixed
SRR11487938,21,0.2753,0.022,5.2846,0.7686,0.0304,100.0,7.9849,jams,0.01,mixed
SRR11487939,21,0.1892,0.0229,5.763,0.7593,0.035,100.0,11.5832,jams,0.01,mixed
SRR11487940,21,0.2835,0.0217,5.131,0.7721,0.0302,100.0,8.0402,jams,0.01,mixed
SRR11487941,21,0.2552,0.0221,5.3661,0.7677,0.0314,100.0,8.9686,jams,0.01,mixed
SRR11487937,21,0.2045,0.0241,5.572,0.7471,0.0332,100.0,9.726,jams202212,0.01,mixed
SRR11487938,21,0.2447,0.0234,5.3203,0.7541,0.0318,100.0,8.508,jams202212,0.01,mixed
SRR11487939,21,0.1509,0.0249,5.9592,0.7383,0.0372,100.0,12.4768,jams202212,0.01,mixed
SRR11487940,21,0.2637,0.0228,5.2088,0.7611,0.0312,100.0,8.1274,jams202212,0.01,mixed
SRR11487941,21,0.2244,0.0235,5.3818,0.7536,0.0329,100.0,9.5435,jams202212,0.01,mixed
SRR11487937,21,0.2022,0.0277,10.1334,0.7089,0.0387,89.4737,11.5505,wgsa2,0.01,mixed
SRR11487938,21,0.213,0.0277,10.2375,0.7095,0.0387,89.4737,11.3533,wgsa2,0.01,mixed
