SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline
SRR17380241,21,0.6519,0.0020,3.9342,0.8687,0.0032,100.0000,12.0932,bio4
SRR17380242,21,0.6551,0.0021,3.9775,0.8632,0.0032,100.0000,12.4079,bio4
SRR17380243,21,0.6593,0.0021,4.0478,0.8664,0.0032,100.0000,12.1881,bio4
SRR17380244,20,0.6101,0.0021,3.9616,0.8702,0.0033,100.0000,11.9340,bio4
SRR17380245,21,0.6556,0.0020,4.1600,0.8693,0.0032,100.0000,12.1487,bio4
SRR17380246,21,0.6504,0.0021,4.1085,0.8677,0.0032,100.0000,12.1056,bio4
Average,21,0.6471,0.0021,4.0316,0.8676,0.0032,100.0000,12.1463,bio4
SRR17380241,24,0.3347,0.0031,4.1294,0.7746,0.0039,100.0000,7.0082,jams
SRR17380242,23,0.2814,0.0032,4.2897,0.7775,0.0040,100.0000,6.3256,jams
SRR17380243,22,0.2062,0.0033,4.1980,0.7794,0.0041,100.0000,6.1418,jams
SRR17380244,23,0.2738,0.0032,4.1924,0.7773,0.0040,100.0000,6.5294,jams
SRR17380245,23,0.2904,0.0032,3.9896,0.7786,0.0039,100.0000,6.0868,jams
SRR17380246,24,0.3343,0.0031,4.2944,0.7747,0.0039,100.0000,6.6612,jams
Average,23,0.2868,0.0032,4.1822,0.7770,0.0040,100.0000,6.4588,jams
SRR17380241,26,0.1770,0.0036,5.6897,0.7197,0.0055,100.0000,19.3226,wgsa
SRR17380242,26,0.1701,0.0036,5.7434,0.7174,0.0056,100.0000,19.4958,wgsa
SRR17380243,26,0.1801,0.0036,5.6799,0.7201,0.0055,100.0000,19.1846,wgsa
SRR17380244,26,0.1757,0.0036,5.6916,0.7204,0.0055,100.0000,19.3297,wgsa
SRR17380245,26,0.1780,0.0036,5.6788,0.7207,0.0055,100.0000,19.2688,wgsa
SRR17380246,26,0.1775,0.0036,5.6892,0.7204,0.0055,100.0000,19.3013,wgsa
Average,26,0.1764,0.0036,5.6954,0.7198,0.0055,100.0000,19.3171,wgsa
SRR17380241,49,0.3542,0.0031,7.4409,0.5489,0.0045,100.0000,21.4845,woltka
SRR17380242,49,0.3559,0.0030,7.4456,0.5500,0.0044,100.0000,21.8792,woltka
SRR17380243,49,0.3548,0.0031,7.4568,0.5491,0.0045,100.0000,21.5016,woltka
SRR17380244,49,0.3524,0.0031,7.4592,0.5481,0.0045,100.0000,21.4798,woltka
SRR17380245,49,0.3530,0.0031,7.4499,0.5481,0.0045,100.0000,21.4445,woltka
SRR17380246,49,0.3525,0.0031,7.4664,0.5481,0.0045,100.0000,21.4827,woltka
Average,49,0.3538,0.0031,7.4531,0.5487,0.0045,100.0000,21.5454,woltka
