SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline
SRR17380241,15,0.6588,0.0018,1.7116,0.9196,0.0023,100.0000,0.0000,bio4
SRR17380242,15,0.6349,0.0018,1.8567,0.9185,0.0024,100.0000,0.0000,bio4
SRR17380243,15,0.6416,0.0018,1.9887,0.9203,0.0024,100.0000,0.0000,bio4
SRR17380244,15,0.6284,0.0019,1.8273,0.9153,0.0024,100.0000,0.0000,bio4
SRR17380245,15,0.6673,0.0017,1.6908,0.9221,0.0023,100.0000,0.0000,bio4
SRR17380246,15,0.6450,0.0018,1.8257,0.9199,0.0024,100.0000,0.0000,bio4
Average,15,0.6460,0.0018,1.8168,0.9193,0.0024,100.0000,0.0000,bio4
SRR17380241,19,0.0685,0.0035,2.8585,0.8028,0.0040,100.0000,0.0000,jams
SRR17380242,19,0.0699,0.0034,3.0443,0.8034,0.0041,100.0000,0.0000,jams
SRR17380243,19,0.0715,0.0034,2.8464,0.8049,0.0040,100.0000,0.0000,jams
SRR17380244,19,0.0671,0.0034,2.8565,0.8044,0.0040,100.0000,0.0000,jams
SRR17380245,19,0.0674,0.0034,2.8435,0.8038,0.0040,100.0000,0.0000,jams
SRR17380246,19,0.0661,0.0035,3.0762,0.8022,0.0041,100.0000,0.0000,jams
Average,19,0.0684,0.0034,2.9209,0.8036,0.0040,100.0000,0.0000,jams
SRR17380241,17,0.0588,0.0036,2.8562,0.8157,0.0047,100.0000,0.0000,wgsa
SRR17380242,17,0.0603,0.0036,2.9180,0.8144,0.0047,100.0000,0.0000,wgsa
SRR17380243,17,0.0586,0.0036,2.8552,0.8154,0.0047,100.0000,0.0000,wgsa
SRR17380244,17,0.0579,0.0036,2.8562,0.8166,0.0047,100.0000,0.0000,wgsa
SRR17380245,17,0.0583,0.0036,2.8440,0.8167,0.0047,100.0000,0.0000,wgsa
SRR17380246,17,0.0586,0.0036,2.8549,0.8162,0.0047,100.0000,0.0000,wgsa
Average,17,0.0587,0.0036,2.8641,0.8158,0.0047,100.0000,0.0000,wgsa
SRR17380241,18,0.0560,0.0073,3.7226,0.6054,0.0086,100.0000,0.0000,woltka
SRR17380242,18,0.0568,0.0072,3.6942,0.6082,0.0084,100.0000,0.0000,woltka
SRR17380243,18,0.0555,0.0073,3.7162,0.6058,0.0086,100.0000,0.0000,woltka
SRR17380244,18,0.0550,0.0073,3.7255,0.6044,0.0086,100.0000,0.0000,woltka
SRR17380245,18,0.0554,0.0073,3.7281,0.6042,0.0086,100.0000,0.0000,woltka
SRR17380246,18,0.0555,0.0073,3.7368,0.6044,0.0086,100.0000,0.0000,woltka
Average,18,0.0557,0.0073,3.7206,0.6054,0.0086,100.0000,0.0000,woltka
