SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline
SRR11487937,17,0.3104,0.0042,3.3865,0.8188,0.0061,100.0000,0.0000,bio4
SRR11487938,18,0.3547,0.0044,4.7066,0.8048,0.0062,100.0000,0.0000,bio4
SRR11487939,17,0.3031,0.0041,3.4478,0.8228,0.0061,100.0000,0.0000,bio4
SRR11487940,17,0.3409,0.0040,3.1931,0.8304,0.0059,100.0000,0.0000,bio4
SRR11487941,17,0.3459,0.0041,3.2683,0.8246,0.0060,100.0000,0.0000,bio4
Average,17,0.3310,0.0042,3.6005,0.8203,0.0061,100.0000,0.0000,bio4
SRR11487937,19,0.3708,0.0043,3.6003,0.7947,0.0060,100.0000,0.0000,jams
SRR11487938,19,0.3682,0.0044,3.6950,0.7941,0.0061,100.0000,0.0000,jams
SRR11487939,19,0.4162,0.0042,3.9369,0.7974,0.0060,100.0000,0.0000,jams
SRR11487940,19,0.3834,0.0043,3.4885,0.7968,0.0060,100.0000,0.0000,jams
SRR11487941,19,0.3887,0.0043,3.6944,0.7964,0.0060,100.0000,0.0000,jams
Average,19,0.3854,0.0043,3.6830,0.7959,0.0060,100.0000,0.0000,jams
SRR11487937,16,0.6864,0.0042,1.8398,0.8307,0.0055,100.0000,0.0000,wgsa
SRR11487938,16,0.6953,0.0042,1.8839,0.8305,0.0056,100.0000,0.0000,wgsa
SRR11487939,16,0.7025,0.0042,1.8862,0.8302,0.0056,100.0000,0.0000,wgsa
SRR11487940,16,0.6998,0.0042,1.8456,0.8314,0.0056,100.0000,0.0000,wgsa
SRR11487941,16,0.7008,0.0042,1.8543,0.8316,0.0056,100.0000,0.0000,wgsa
Average,16,0.6969,0.0042,1.8620,0.8309,0.0056,100.0000,0.0000,wgsa
SRR11487937,18,0.0234,0.0058,3.2948,0.7376,0.0085,100.0000,0.0000,wol
SRR11487938,18,0.0204,0.0058,3.3182,0.7373,0.0085,100.0000,0.0000,wol
SRR11487939,18,0.0221,0.0058,3.3334,0.7377,0.0084,100.0000,0.0000,wol
SRR11487940,18,0.0196,0.0058,3.2964,0.7397,0.0084,100.0000,0.0000,wol
SRR11487941,18,0.0193,0.0058,3.2935,0.7407,0.0084,100.0000,0.0000,wol
Average,18,0.0210,0.0058,3.3073,0.7386,0.0085,100.0000,0.0000,wol
