Species,RA,TAX_ID
Halomonas sp. HL-93,0.8764615116736165,1666906
Marinobacter sp. ELB17,0.021521298158786582,270374
Halomonas campaniensis,0.009913802179129143,213554
Marinobacter psychrophilus,0.0065361669397147595,330734
Halomonas stevensii,0.0059744756314919255,502821
Muricauda ruestringensis,0.0045807895773106455,111501
Psychrobacter sp. P11F6,0.0031425254203565414,1699621
Marinobacter sp. AC-23,0.0028567855522109234,1879031
Halomonas boliviensis,0.002791606306797453,223527
Psychrobacter arcticus,0.0026991608431831283,334543
Psychrobacter alimentarius,0.0023190207111236007,261164
Labrenzia alba,0.0017138837859103577,311410
Marinobacter subterrani,0.0014314620289743675,1658765
Halomonas sp. GFAJ-1,0.0014169272592191502,1118153
Marinobacter adhaerens,0.0011010142189216345,1033846
Jannaschia seosinensis,0.0010297325341965442,313367
Muricauda antarctica,0.0009955848418783317,1055723
Marinobacter excellens,0.0009943225169616254,218670
Arenibacter sp. C-21,0.0008843704100738953,1883406
Mycobacterium aurum,0.0008638269737151565,1791
Psychrobacter sp. TB15,0.0008543487169120024,494416
Fusibacter sp. 3D3,0.000843716334470717,1048380
Methanolacinia paynteri,0.0008416316950368421,230356
Nereida ignava,0.0008371883113300363,282199
Thauera aminoaromatica,0.0008319442529617767,164330
Phaeobacter sp. CECT 7735,0.0008301481449374347,1715693
Aureispira sp. CCB-QB1,0.0008293618968464577,1313421
Jannaschia rubra,0.0008277316943825972,282197
Thalassobacter stenotrophicus,0.0008256542682339606,266809
Dysgonomonas sp. HGC4,0.0008249978592772734,1658009
Necropsobacter massiliensis,0.0008249185131396519,1400001
Mesorhizobium plurifarium,0.0008245362090220209,69974
Acinetobacter rudis,0.0008223577968800479,632955
Thalassobius sp. CECT 5113,0.0008188377136837471,1715691
Helicobacter heilmannii,0.000815894693306512,35817
Bifidobacterium aesculapii,0.0008155556689003109,1329411
Helicobacter ailurogastricus,0.0008140553055707401,1578720
Sporanaerobacter sp. PP17-6a,0.0008138821867250205,1891289
Chondromyces apiculatus,0.0008123601835397347,51
Cystobacter fuscus,0.0008033075105656415,43
Flavobacterium succinicans,0.0007980562389121437,29536
Shimia marina,0.0007950338723972871,321267
Thauera terpenica,0.000793143991664847,76113
Tropicibacter naphthalenivorans,0.0007925020092786364,441103
Nautella italica,0.0007922351177248185,481446
Jannaschia donghaensis,0.0007919970793119538,420998
Pseudoalteromonas luteoviolacea,0.0007917229744728977,43657
Mycobacterium cosmeticum,0.0007904029432742849,258533
Leucobacter celer,0.0007776210018319797,668625
Paenibacillus sp. FF9,0.0007760412923647873,1527293
Microbacterium sp. C448,0.0007758104672371611,1177594
Thalassobius mediterraneus,0.0007751179918542823,340021
Acetomicrobium hydrogeniformans,0.0007742668241961603,649746
Saccharopolyspora rectivirgula,0.0007740504256390107,28042
Anaerosalibacter massiliensis,0.0007683014373040687,1347392
Pseudomonas pelagia,0.0007656974413330348,553151
Brachybacterium muris,0.0007645721688358566,219301
Leucobacter sp. UCD-THU,0.0007502105179263591,1292023
Mesorhizobium sp. ORS3324,0.0007296526549971437,1505932
Thalassobius gelatinovorus,0.0007209534329997283,53501
Halomonas salina,0.0007178661469177267,42565
Psychrobacter sp. PRwf-1,0.0007142162245871363,349106
Leisingera aquaemixtae,0.0006552548310490986,1396826
Muricauda sp. MAR_2010_75,0.0006422853441905972,1250232
Thioclava pacifica,0.0006264161166662905,285109
Psychrobacter aquaticus,0.0006196067754013153,248452
Moraxella catarrhalis,0.0005650599124291303,480
Micromonospora aurantiaca,0.000555891826891224,47850
Muricauda sp. CP2A,0.000543023326026059,1848189
Marinobacter hydrocarbonoclasticus,0.0005414003368474367,2743
Micromonospora carbonacea,0.0005328598071252644,47853
Tropicibacter multivorans,0.0005203231173810622,928856
Cohaesibacter marisflavi,0.0004932516578816426,655353
Micromonospora lupini,0.00044262882207910437,285679
Thioclava atlantica,0.0004273294440886251,1317124
Psychrobacter sp. ENNN9_III,0.00042731501751814844,1254334
Halomonas huangheensis,0.00042167422846178126,1178482
Marinobacter similis,0.00041450422293489,1420916
Marinobacter lipolyticus,0.00039506441921761433,209639
Marinobacter salarius,0.0003466560619832407,1420917
Verrucosispora maris,0.0003231191122505986,1003110
Halomonas elongata,0.00031399430642412224,2746
Chlamydia psittaci,0.00028498247319559434,83554
Thioclava dalianensis,0.000278461663340152,1185766
Marinobacter sp. ES-1,0.00026342196361825226,1396858
Xiangella phaseoli,0.00023977681460703534,1144548
Chromohalobacter salexigens,0.00022894246017907688,158080
Marinobacter nitratireducens,0.00022176524136694728,1137280
Marinobacter santoriniensis,0.0001974997498252347,523742
Croceitalea dokdonensis,0.00019025761144596023,346188
Spongiibacterium flavum,0.0001865067031220332,570519
Flagellimonas sp. DK169,0.00017296736672970427,1547436
Halomonas sp. KM-1,0.00014697068673079464,590061
Marinobacter mobilis,0.00013996658676438474,488533
Halomonas sp. S2151,0.00011699948656557002,579478
Halomonas zincidurans,0.00011432335774215285,1178777
Salinispora arenicola,0.00010987276075010867,168697
Salinispora tropica,0.00010574676159378893,168695
Polaribacter dokdonensis,0.00010283259435750716,326329
Marinobacter daepoensis,9.667966204921917e-05,262077
Gammaproteobacteria bacterium MFB021,8.71653388198735e-05,1492922
Maribacter thermophilus,8.365968219404939e-05,1197874
Chromohalobacter japonicus,8.31547522273669e-05,223900
Pseudozobellia thermophila,8.134421763254828e-05,192903
Psychrobacter phenylpyruvicus,8.08753540920574e-05,29432
Maribacter dokdonensis,8.044255697775813e-05,320912
Halomonas jeotgali,7.675656822097599e-05,553386
Defluviimonas sp. 20V17,7.102921974174895e-05,1417296
Salinicola sp. MH3R3-1,6.626845148445695e-05,1928762
Psychrobacter lutiphocae,6.574909494729782e-05,540500
Maribacter sp. 1_2014MBL_MicDiv,6.302968641245073e-05,1644130
Halomonas sp. PBN3,6.187556077431934e-05,1397528
Marinimicrobium agarilyticum,6.035355758903356e-05,306546
Cellulophaga algicola,6.030306459236531e-05,59600
Muricauda lutaonensis,5.350093661262841e-05,516051
Halomonas xinjiangensis,5.3414377189768555e-05,1166948
Rhodobacter sphaeroides,5.198614671258096e-05,1063
Thioclava indica,5.183466772257621e-05,1353528
Mesoflavibacter zeaxanthinifaciens,5.090415392683278e-05,393060
Arenibacter algicola,4.9879867422991164e-05,616991
Jejuia pallidilutea,4.9865440852514526e-05,504487
Halotalea alkalilenta,4.954805630202839e-05,376489
Halomonas smyrnensis,4.931723117440211e-05,720605
Tropicimonas isoalkanivorans,4.8069332828172544e-05,441112
Paracoccus aminophilus,4.7376857445293704e-05,34003
Aidingimonas halophila,4.42462916518623e-05,574349
Sulfitobacter geojensis,4.221935849989404e-05,1342299
Salinivibrio socompensis,3.8720915159308254e-05,1510206
Moraxella ovis,3.784810764547139e-05,29433
Actinoplanes sp. SE50/110,3.753793638022357e-05,134676
Actinoplanes sp. N902-109,3.696087356115788e-05,649831
Halomonas anticariensis,3.4602129288226845e-05,258591
Rhodobacter capsulatus,3.3722108489151656e-05,1061
Halomonas lutea,3.2813234549123185e-05,453962
Halomonas halocynthiae,3.2293878011964055e-05,176290
Maribacter sp. HTCC2170,3.152205649146369e-05,313603
Couchioplanes caeruleus,3.0504983272860395e-05,56438
Paracoccus sp. 228,2.981972117521988e-05,1192054
Arsukibacterium sp. MJ3,2.946627019854214e-05,1632859
Paracoccus denitrificans,2.7432123761335562e-05,266
