SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline
SRR11487931,16,0.9182,0.0168,6.2151,0.8658,0.0309,93.7500,0.0000,bio3
SRR11487932,16,0.9072,0.0164,6.4976,0.8688,0.0316,87.5000,0.0000,bio3
SRR11487933,16,0.9109,0.0153,7.6880,0.8776,0.0298,87.5000,0.0000,bio3
SRR11487934,16,0.8996,0.0151,6.1627,0.8793,0.0315,93.7500,0.0000,bio3
SRR11487935,16,0.9156,0.0143,6.4146,0.8854,0.0288,87.5000,0.0000,bio3
Average,16,0.9103,0.0156,6.5956,0.8754,0.0305,90.0000,0.0000,bio3
SRR11487931,17,0.9200,0.0210,5.2997,0.8213,0.0417,93.7500,0.6468,biobakery4
SRR11487932,17,0.9165,0.0218,5.5212,0.8143,0.0418,93.7500,0.7528,biobakery4
SRR11487933,17,0.9284,0.0198,5.1683,0.8314,0.0383,93.7500,0.8422,biobakery4
SRR11487934,17,0.9231,0.0206,5.5243,0.8246,0.0396,93.7500,0.7781,biobakery4
SRR11487935,17,0.9299,0.0200,5.5438,0.8301,0.0379,93.7500,0.9054,biobakery4
Average,17,0.9236,0.0207,5.4115,0.8243,0.0399,93.7500,0.7851,biobakery4
SRR11487931,20,0.9083,0.0180,8.7886,0.8201,0.0307,93.7500,0.6650,jams
SRR11487932,19,0.9013,0.0191,11.1231,0.8184,0.0321,100.0000,0.6913,jams
SRR11487933,20,0.9160,0.0170,9.0602,0.8302,0.0285,93.7500,0.5835,jams
SRR11487934,19,0.9063,0.0186,8.7245,0.8231,0.0308,93.7500,0.6269,jams
SRR11487935,20,0.9212,0.0169,10.8831,0.8315,0.0279,93.7500,0.6103,jams
Average,20,0.9106,0.0179,9.7159,0.8247,0.0300,95.0000,0.6354,jams
SRR11487931,19,0.9069,0.0189,9.7517,0.8204,0.0316,93.7500,0.5739,jams202212
SRR11487932,18,0.9001,0.0201,7.8405,0.8190,0.0329,93.7500,0.6448,jams202212
SRR11487933,20,0.9160,0.0170,8.8040,0.8304,0.0285,93.7500,0.5809,jams202212
SRR11487934,19,0.9062,0.0186,8.9801,0.8233,0.0308,93.7500,0.6057,jams202212
SRR11487935,18,0.9187,0.0187,8.0341,0.8320,0.0294,93.7500,0.5242,jams202212
Average,19,0.9096,0.0186,8.6821,0.8250,0.0306,93.7500,0.5859,jams202212
SRR11487931,31,0.9116,0.0132,8.8896,0.7958,0.0277,100.0000,4.4278,wgsa
SRR11487932,30,0.9095,0.0138,9.3362,0.7935,0.0282,100.0000,4.5500,wgsa
SRR11487933,31,0.9183,0.0127,9.0164,0.8026,0.0255,100.0000,4.6111,wgsa
SRR11487934,31,0.9155,0.0129,8.8454,0.8004,0.0261,100.0000,4.5628,wgsa
SRR11487935,31,0.9213,0.0125,8.7726,0.8060,0.0249,100.0000,4.7407,wgsa
Average,31,0.9152,0.0130,8.9721,0.7997,0.0265,100.0000,4.5785,wgsa
SRR11487931,54,0.4510,0.0149,8.8705,0.5987,0.0453,100.0000,12.2553,wol
SRR11487932,55,0.4339,0.0149,8.2300,0.5900,0.0459,100.0000,12.4894,wol
SRR11487933,55,0.4427,0.0146,9.4001,0.5975,0.0452,100.0000,12.0932,wol
SRR11487934,53,0.4560,0.0149,7.8254,0.6039,0.0453,100.0000,11.9329,wol
SRR11487935,56,0.4507,0.0142,8.0751,0.6024,0.0444,100.0000,11.9932,wol
Average,55,0.4469,0.0147,8.4802,0.5985,0.0452,100.0000,12.1528,wol
