SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline
SRR11487931,17,0.9142,0.0034,5.2528,0.8568,0.0060,100.0000,0.0000,bio4
SRR11487932,17,0.9028,0.0033,4.8354,0.8611,0.0062,100.0000,0.0000,bio4
SRR11487933,17,0.9066,0.0030,6.2762,0.8715,0.0058,100.0000,0.0000,bio4
SRR11487934,17,0.8944,0.0032,5.8814,0.8633,0.0062,100.0000,0.0000,bio4
SRR11487935,17,0.9113,0.0029,5.1244,0.8773,0.0056,100.0000,0.0000,bio4
Average,17,0.9059,0.0032,5.4740,0.8660,0.0060,100.0000,0.0000,bio4
SRR11487931,19,0.9021,0.0041,9.1725,0.8070,0.0067,100.0000,0.0000,jams
SRR11487932,19,0.8961,0.0041,9.5318,0.8045,0.0068,100.0000,0.0000,jams
SRR11487933,19,0.9069,0.0039,8.8944,0.8142,0.0063,100.0000,0.0000,jams
SRR11487934,19,0.8996,0.0040,7.5502,0.8085,0.0066,94.7368,0.0000,jams
SRR11487935,19,0.9133,0.0038,8.8004,0.8171,0.0062,100.0000,0.0000,jams
Average,19,0.9036,0.0040,8.7899,0.8103,0.0065,98.9474,0.0000,jams
SRR11487931,17,0.9122,0.0044,4.6517,0.8125,0.0085,100.0000,0.0000,wgsa
SRR11487932,17,0.9108,0.0044,4.7533,0.8110,0.0084,100.0000,0.0000,wgsa
SRR11487933,17,0.9187,0.0042,4.4721,0.8209,0.0077,100.0000,0.0000,wgsa
SRR11487934,17,0.9158,0.0043,4.4548,0.8172,0.0079,100.0000,0.0000,wgsa
SRR11487935,17,0.9223,0.0041,4.4669,0.8255,0.0076,100.0000,0.0000,wgsa
Average,17,0.9160,0.0043,4.5598,0.8174,0.0080,100.0000,0.0000,wgsa
SRR11487931,22,0.2717,0.0080,12.3122,0.5575,0.0152,100.0000,3.5417,wol
SRR11487932,22,0.2562,0.0082,12.4116,0.5493,0.0155,100.0000,3.5746,wol
SRR11487933,22,0.2633,0.0080,12.2311,0.5582,0.0152,100.0000,3.5092,wol
SRR11487934,22,0.2776,0.0079,12.2441,0.5642,0.0150,100.0000,3.4897,wol
SRR11487935,22,0.2703,0.0079,12.1843,0.5634,0.0151,100.0000,3.4801,wol
Average,22,0.2678,0.0080,12.2766,0.5585,0.0152,100.0000,3.5191,wol
