SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline
SRR11487931,19,0.9172,0.0153,7.9875,0.8547,0.0286,89.4737,0.0000,biobakery3
SRR11487932,19,0.9064,0.0149,7.1893,0.8588,0.0292,89.4737,0.0000,biobakery3
SRR11487933,19,0.9102,0.0138,9.6700,0.8691,0.0275,89.4737,0.0000,biobakery3
SRR11487934,20,0.9001,0.0139,9.3773,0.8608,0.0286,89.4737,0.0477,biobakery3
SRR11487935,19,0.9147,0.0132,7.7885,0.8749,0.0266,89.4737,0.0000,biobakery3
Average,19,0.9097,0.0142,8.4025,0.8637,0.0281,89.4737,0.0095,biobakery3
SRR11487931,19,0.9202,0.0189,2.7055,0.8205,0.0397,100.0000,0.0000,biobakery4
SRR11487932,19,0.9183,0.0193,2.7692,0.8164,0.0397,100.0000,0.0000,biobakery4
SRR11487933,19,0.9283,0.0177,2.6827,0.8318,0.0364,100.0000,0.0000,biobakery4
SRR11487934,19,0.9237,0.0184,2.6704,0.8256,0.0376,100.0000,0.0000,biobakery4
SRR11487935,19,0.9309,0.0176,2.7348,0.8326,0.0359,100.0000,0.0000,biobakery4
Average,19,0.9243,0.0184,2.7125,0.8254,0.0379,100.0000,0.0000,biobakery4
SRR11487931,26,0.9010,0.0152,12.9272,0.8021,0.0278,100.0000,3.2783,jams
SRR11487932,27,0.8969,0.0148,12.7516,0.8005,0.0278,100.0000,3.0798,jams
SRR11487933,27,0.9066,0.0141,12.2769,0.8091,0.0258,100.0000,3.2801,jams
SRR11487934,28,0.9007,0.0140,13.2173,0.8033,0.0263,94.7368,3.3177,jams
SRR11487935,28,0.9129,0.0135,12.8052,0.8114,0.0247,100.0000,3.3911,jams
Average,27,0.9036,0.0143,12.7956,0.8053,0.0265,98.9474,3.2694,jams
SRR11487931,20,0.8976,0.0196,6.4896,0.8036,0.0328,63.1579,0.8967,jams202212
SRR11487932,20,0.8943,0.0196,6.3428,0.8035,0.0330,63.1579,0.7250,jams202212
SRR11487933,20,0.9045,0.0188,6.3594,0.8122,0.0305,63.1579,0.9265,jams202212
SRR11487934,20,0.8969,0.0194,6.3717,0.8064,0.0319,63.1579,0.7747,jams202212
SRR11487935,20,0.9111,0.0185,6.2218,0.8150,0.0298,63.1579,0.7918,jams202212
Average,20,0.9009,0.0192,6.3571,0.8081,0.0316,63.1579,0.8229,jams202212
SRR11487931,40,0.9104,0.0101,12.4660,0.7984,0.0258,89.4737,3.9102,wgsa2
SRR11487932,39,0.9091,0.0104,12.9089,0.7974,0.0261,89.4737,4.0958,wgsa2
SRR11487933,42,0.9178,0.0091,12.1933,0.8081,0.0230,89.4737,4.0933,wgsa2
SRR11487934,40,0.9148,0.0097,12.3884,0.8052,0.0243,89.4737,4.0552,wgsa2
SRR11487935,43,0.9209,0.0088,12.2282,0.8107,0.0223,89.4737,4.1729,wgsa2
Average,41,0.9146,0.0096,12.4369,0.8040,0.0243,89.4737,4.0655,wgsa2
SRR11487931,133,0.3934,0.0070,16.3473,0.5356,0.0303,94.7368,22.3368,woltka
SRR11487932,137,0.3783,0.0069,16.5801,0.5277,0.0305,94.7368,22.5242,woltka
SRR11487933,137,0.3875,0.0068,16.3657,0.5360,0.0300,94.7368,22.2556,woltka
SRR11487934,136,0.4007,0.0067,16.3337,0.5419,0.0297,94.7368,22.0471,woltka
SRR11487935,138,0.3947,0.0067,16.2957,0.5411,0.0296,94.7368,22.0347,woltka
Average,136,0.3909,0.0068,16.3845,0.5365,0.0300,94.7368,22.2397,woltka
